interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2020-05-26T00:00:00-05:00,2020-05-26 05:00:00+00:00,2020-05-27T00:00:00-05:00,2020-05-27 05:00:00+00:00,39746.885416666667
2020-05-27T00:00:00-05:00,2020-05-27 05:00:00+00:00,2020-05-28T00:00:00-05:00,2020-05-28 05:00:00+00:00,41311.809027777778
2020-05-28T00:00:00-05:00,2020-05-28 05:00:00+00:00,2020-05-29T00:00:00-05:00,2020-05-29 05:00:00+00:00,42387.684027777778
2020-05-29T00:00:00-05:00,2020-05-29 05:00:00+00:00,2020-05-30T00:00:00-05:00,2020-05-30 05:00:00+00:00,42983.857638888889
2020-05-30T00:00:00-05:00,2020-05-30 05:00:00+00:00,2020-05-31T00:00:00-05:00,2020-05-31 05:00:00+00:00,41501.940972222222
2020-05-31T00:00:00-05:00,2020-05-31 05:00:00+00:00,2020-06-01T00:00:00-05:00,2020-06-01 05:00:00+00:00,40233.111111111111
2020-06-01T00:00:00-05:00,2020-06-01 05:00:00+00:00,2020-06-02T00:00:00-05:00,2020-06-02 05:00:00+00:00,42687.020833333333
2020-06-02T00:00:00-05:00,2020-06-02 05:00:00+00:00,2020-06-03T00:00:00-05:00,2020-06-03 05:00:00+00:00,46330.319444444444
2020-06-03T00:00:00-05:00,2020-06-03 05:00:00+00:00,2020-06-04T00:00:00-05:00,2020-06-04 05:00:00+00:00,48316.329861111111
2020-06-04T00:00:00-05:00,2020-06-04 05:00:00+00:00,2020-06-05T00:00:00-05:00,2020-06-05 05:00:00+00:00,50994.357638888889
2020-06-05T00:00:00-05:00,2020-06-05 05:00:00+00:00,2020-06-06T00:00:00-05:00,2020-06-06 05:00:00+00:00,51687.697916666667
2020-06-06T00:00:00-05:00,2020-06-06 05:00:00+00:00,2020-06-07T00:00:00-05:00,2020-06-07 05:00:00+00:00,50996.520833333333
2020-06-07T00:00:00-05:00,2020-06-07 05:00:00+00:00,2020-06-08T00:00:00-05:00,2020-06-08 05:00:00+00:00,50601.583333333333
2020-06-08T00:00:00-05:00,2020-06-08 05:00:00+00:00,2020-06-09T00:00:00-05:00,2020-06-09 05:00:00+00:00,54154.465277777778
2020-06-09T00:00:00-05:00,2020-06-09 05:00:00+00:00,2020-06-10T00:00:00-05:00,2020-06-10 05:00:00+00:00,54882.750000000000
2020-06-10T00:00:00-05:00,2020-06-10 05:00:00+00:00,2020-06-11T00:00:00-05:00,2020-06-11 05:00:00+00:00,46489.118055555556
2020-06-11T00:00:00-05:00,2020-06-11 05:00:00+00:00,2020-06-12T00:00:00-05:00,2020-06-12 05:00:00+00:00,46512.003472222222
2020-06-12T00:00:00-05:00,2020-06-12 05:00:00+00:00,2020-06-13T00:00:00-05:00,2020-06-13 05:00:00+00:00,46384.437500000000
2020-06-13T00:00:00-05:00,2020-06-13 05:00:00+00:00,2020-06-14T00:00:00-05:00,2020-06-14 05:00:00+00:00,46091.010416666667
2020-06-14T00:00:00-05:00,2020-06-14 05:00:00+00:00,2020-06-15T00:00:00-05:00,2020-06-15 05:00:00+00:00,46400.704861111111
2020-06-15T00:00:00-05:00,2020-06-15 05:00:00+00:00,2020-06-16T00:00:00-05:00,2020-06-16 05:00:00+00:00,50864.315972222222
2020-06-16T00:00:00-05:00,2020-06-16 05:00:00+00:00,2020-06-17T00:00:00-05:00,2020-06-17 05:00:00+00:00,51325.531250000000
2020-06-17T00:00:00-05:00,2020-06-17 05:00:00+00:00,2020-06-18T00:00:00-05:00,2020-06-18 05:00:00+00:00,51038.003472222222
2020-06-18T00:00:00-05:00,2020-06-18 05:00:00+00:00,2020-06-19T00:00:00-05:00,2020-06-19 05:00:00+00:00,51078.673611111111
2020-06-19T00:00:00-05:00,2020-06-19 05:00:00+00:00,2020-06-20T00:00:00-05:00,2020-06-20 05:00:00+00:00,50435.569444444444
2020-06-20T00:00:00-05:00,2020-06-20 05:00:00+00:00,2020-06-21T00:00:00-05:00,2020-06-21 05:00:00+00:00,46727.145833333333
2020-06-21T00:00:00-05:00,2020-06-21 05:00:00+00:00,2020-06-22T00:00:00-05:00,2020-06-22 05:00:00+00:00,46903.815972222222
2020-06-22T00:00:00-05:00,2020-06-22 05:00:00+00:00,2020-06-23T00:00:00-05:00,2020-06-23 05:00:00+00:00,48645.784722222222
2020-06-23T00:00:00-05:00,2020-06-23 05:00:00+00:00,2020-06-24T00:00:00-05:00,2020-06-24 05:00:00+00:00,46061.010416666667
2020-06-24T00:00:00-05:00,2020-06-24 05:00:00+00:00,2020-06-25T00:00:00-05:00,2020-06-25 05:00:00+00:00,46866.875000000000
2020-06-25T00:00:00-05:00,2020-06-25 05:00:00+00:00,2020-06-26T00:00:00-05:00,2020-06-26 05:00:00+00:00,48140.986111111111
2020-06-26T00:00:00-05:00,2020-06-26 05:00:00+00:00,2020-06-27T00:00:00-05:00,2020-06-27 05:00:00+00:00,47630.319444444444
2020-06-27T00:00:00-05:00,2020-06-27 05:00:00+00:00,2020-06-28T00:00:00-05:00,2020-06-28 05:00:00+00:00,49291.052083333333
2020-06-28T00:00:00-05:00,2020-06-28 05:00:00+00:00,2020-06-29T00:00:00-05:00,2020-06-29 05:00:00+00:00,48902.076388888889
2020-06-29T00:00:00-05:00,2020-06-29 05:00:00+00:00,2020-06-30T00:00:00-05:00,2020-06-30 05:00:00+00:00,53314.125000000000
2020-06-30T00:00:00-05:00,2020-06-30 05:00:00+00:00,2020-07-01T00:00:00-05:00,2020-07-01 05:00:00+00:00,54469.625000000000
